sub_industry,industry,sector
Farming Industry,Farming,"Farming, Ranching, Forestry"
Farriers,Veterinary Services,Professional Services
Fascias & Soffits,Building Construction,Construction
Fashion & Celebrity,Media and Telecommunications,"Technology, Information and Media"
Fashion & Design,Apparel Manufacturing,Manufacturing
Fashion Accessories,Apparel Manufacturing,Manufacturing
Fashion Agents,Business Consulting and Services,Professional Services
Fashion Retail,Retail Apparel and Fashion,Retail
Fast Food Delivery Services,Food and Beverage Services,Accommodation Services
Fast-Moving Consumer Goods,Food and Beverage Manufacturing,Manufacturing
Fasteners & Fixing Devices,Fabricated Metal Products,Manufacturing
Fastest Delivery Support & Logistics Service,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Felt & Felt Products,Textile Manufacturing,Manufacturing
Felt Manufacturers,Textile Manufacturing,Manufacturing
"Fence, Gate & Barrier Suppliers",Retail Building Materials and Garden Equipment,Retail
Fencing Contractors,Specialty Trade Contractors,Construction
Fencing Manufacturers/contractors,Fabricated Metal Products,Manufacturing
Fertilisers,Chemical Manufacturing,Manufacturing
Fertility Clinics,Medical Practices,Hospitals and Health Care
"Fiberglass Moulding, Materials & Manufacturers",Plastics and Rubber Product Manufacturing,Manufacturing
Fibre Optics,"Technology, Information and Internet","Technology, Information and Media"
Field Sales,Business Consulting and Services,Professional Services
Field Services,Repair and Maintenance,Consumer Services
Field Work,Research Services,Professional Services
Film,Media and Telecommunications,"Technology, Information and Media"
Film & Photograph Libraries,Media and Telecommunications,"Technology, Information and Media"
Film Distributors,Media and Telecommunications,"Technology, Information and Media"
Film DVD Transfer Services,Media and Telecommunications,"Technology, Information and Media"
Film For Packaging,Paper and Forest Product Manufacturing,Manufacturing
Film Studios & Production Services,Media and Telecommunications,"Technology, Information and Media"
Filter Manufacturers & Suppliers,Machinery Manufacturing,Manufacturing
Filtration Systems & Services,Repair and Maintenance,Consumer Services
Fin Tech,"Technology, Information and Internet","Technology, Information and Media"
Final Mile Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Finance,Capital Markets,Financial Services
Financial Advisers -Tied Agents/Company Representatives,Business Consulting and Services,Professional Services
Financial Advisers- Independent,Business Consulting and Services,Professional Services
Financial Helplines,Community Services,Hospitals and Health Care
Financial Independence,Business Consulting and Services,Professional Services
Financial Intelligence,Security and Investigations,Administrative and Support Services
Financial Planning & Investment Management Companies,Capital Markets,Financial Services
Financial Products - Direct,Credit Intermediation,Financial Services
Financial Services,Capital Markets,Financial Services
Fire & Water Damage Restoration Services,Repair and Maintenance,Consumer Services
Fire Detection And Alarm Systems,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Fire Doors Installation & Sales,Building Construction,Construction
Fire Escapes & Evacuation Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Fire Extinguishers,Equipment Rental Services,Real Estate and Equipment Rental Services
Fire Extinguishing Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Fire Protection Consultants & Engineers,Engineering Services,Professional Services
Fire Resistant Materials,Chemical Manufacturing,Manufacturing
Fire Safety Risk Assessment,Business Consulting and Services,Professional Services
Fire Stations,Administration of Justice,Government Administration
Fire Training,Professional Training and Coaching,Education
Firefighting Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Fireplaces & Mantelpieces,Building Construction,Construction
Firework Stockists,Retail Office Supplies and Gifts,Retail
"Firework Technicians, Manufacturers & Distributors",Chemical Manufacturing,Manufacturing
First Aid,Health and Human Services,Government Administration
First Aid & Medical Supplies,Retail Health and Personal Care Products,Retail
First Aid Medical Cover For Events & Festivals,Events Services,Administrative and Support Services
First Choice In Fashion Retail For Logistics,Retail Apparel and Fashion,Retail
Fish & Chips & Seafood,Food and Beverage Services,Accommodation Services
Fish Farms & Hatcheries,Ranching and Fisheries,"Farming, Ranching, Forestry"
Fish Smokers & Curers,Food and Beverage Manufacturing,Manufacturing
Fish Wholesaler & Wholesale Dealers,Wholesale Food and Beverage,Wholesale
Fisheries' Consultants,Business Consulting and Services,Professional Services
Fishermen,Ranching and Fisheries,"Farming, Ranching, Forestry"
Fishing & Angling Equipment - Manufacturers & Distributors,Sporting Goods Manufacturing,Manufacturing
Fishmongers & Fishmonger Services & Suppliers,Food and Beverage Retail,Retail
Fitness Equipment,Sporting Goods Manufacturing,Manufacturing
Fitted Wardrobes & Built In Wardrobes,Furniture and Home Furnishings Manufacturing,Manufacturing
Fixed Price Fix,Repair and Maintenance,Consumer Services
Fixed Wireless Access,Media and Telecommunications,"Technology, Information and Media"
"Flags, Banners, Poles & Masts",Textile Manufacturing,Manufacturing
Fleet Management,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Flood Control And Floodplains,Environmental Quality Programs,Government Administration
Flood Risk,Environmental Quality Programs,Government Administration
Floor Cleaning & Polishing Equipment - Manufacturers & Distributor,Machinery Manufacturing,Manufacturing
"Floor Laying, Refinishing & Resurfacing",Specialty Trade Contractors,Construction
Floor Maintenance Equipment,Machinery Manufacturing,Manufacturing
Floorcoverings - Manufacturers & Wholesalers,Wholesale Furniture and Home Furnishings,Wholesale
Flooring Contractors,Specialty Trade Contractors,Construction
Flooring Materials,Wholesale Building Materials,Wholesale
Flooring Services,Specialty Trade Contractors,Construction
Floral & Plant Displays,Retail Florists,Retail
Florists,Retail Florists,Retail
Flow Measurement Systems Manufacturers,Machinery Manufacturing,Manufacturing
Flowers & Shrubs - Artificial,Retail Florists,Retail
Flurries,Food and Beverage Manufacturing,Manufacturing
Fly Screens,Building Construction,Construction
Flying Schools,Technical and Vocational Training,Education
Fmcg & Cpg,Food and Beverage Manufacturing,Manufacturing
Fmcg Beverages Business,Wholesale Food and Beverage,Wholesale
Food & Dining Management Services,Food and Beverage Services,Accommodation Services
Food and Drink Production,Food and Beverage Manufacturing,Manufacturing
Food Consultants & Technologists,Business Consulting and Services,Professional Services
Food Contracts,Food and Beverage Manufacturing,Manufacturing
Food Delivery,Food and Beverage Services,Accommodation Services
Food Distribution,Wholesale Food and Beverage,Wholesale
Food Emulsifiers,Food and Beverage Manufacturing,Manufacturing
Food Manufacturing,Food and Beverage Manufacturing,Manufacturing
Food Packing,Food and Beverage Manufacturing,Manufacturing
Food Processing,Food and Beverage Manufacturing,Manufacturing
Food Processing Equipment & Supplies,Food and Beverage Manufacturing,Manufacturing
Food Product Development,Food and Beverage Manufacturing,Manufacturing
Food Production,Food and Beverage Manufacturing,Manufacturing
Food Products,Food and Beverage Manufacturing,Manufacturing
Food Retail,Food and Beverage Retail,Retail
Food Safety,Health and Human Services,Government Administration
Food Service,Food and Beverage Services,Accommodation Services
Food Service Equipment,Wholesale Machinery,Wholesale
Food Shopping Online,Online and Mail Order Retail,Retail
Food Tech,IT Services and IT Consulting,Professional Services
Food Waste Recycling,Environmental Quality Programs,Government Administration
Food Wholesale,Wholesale Food and Beverage,Wholesale
Foodservice Procurement,Food and Beverage Services,Accommodation Services
Foot Care Professionals,Health and Human Services,Government Administration
Footwear Manufacturers & Wholesale,Leather Product Manufacturing,Manufacturing
Foraging,Farming,"Farming, Ranching, Forestry"
Forecasting,Business Consulting and Services,Professional Services
Forestry,Forestry and Logging,"Farming, Ranching, Forestry"
Fork Lift Hire Casual,Equipment Rental Services,Real Estate and Equipment Rental Services
Fork Lift Trucks- Training,Professional Training and Coaching,Education
Forklift Battery,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Forklift Service,Repair and Maintenance,Consumer Services
Forklift Trucks,Transportation Equipment Manufacturing,Manufacturing
Foundation Schools/local Authority Maintained School,Primary and Secondary Education,Education
Foundries,Primary Metal Manufacturing,Manufacturing
